Timestamp (UTC-05:00),Value (Wh/m^2),Grade Code,Approval Level,Interpolation Type,Event Timestamp
2006-02-14 20:00:00,36,50,900,8,
2006-02-14 21:00:00,37,50,900,8,
2006-02-15 13:00:00,818,50,900,8,
2006-02-15 15:00:00,265,50,900,8,
2006-02-15 17:00:00,308,50,900,8,
2006-02-15 18:00:00,64,50,900,8,
2006-02-15 19:00:00,38,50,900,8,
2006-02-15 20:00:00,36,50,900,8,
2006-02-15 21:00:00,36,50,900,8,
2006-02-15 22:00:00,37,50,900,8,
2006-02-16 14:00:00,432,50,900,8,
2006-02-16 15:00:00,633,50,900,8,
2006-02-16 16:00:00,446,50,900,8,
2006-02-16 17:00:00,317,50,900,8,
2006-02-16 18:00:00,132,50,900,8,
2006-02-16 19:00:00,40,50,900,8,
2006-02-16 20:00:00,39,50,900,8,
2006-02-16 21:00:00,38,50,900,8,
2006-02-16 22:00:00,37,50,900,8,
2006-02-16 23:00:00,37,50,900,8,
2006-02-17 00:00:00,37,50,900,8,
2006-02-17 01:00:00,37,50,900,8,
2006-02-17 12:00:00,346,50,900,8,
2006-02-17 13:00:00,180,50,900,8,
2006-02-17 14:00:00,130,50,900,8,
2006-02-17 15:00:00,122,50,900,8,
2006-02-17 16:00:00,87,50,900,8,
2006-02-17 17:00:00,86,50,900,8,
2006-02-17 18:00:00,70,50,900,8,
2006-02-17 19:00:00,39,50,900,8,
2006-02-17 20:00:00,39,50,900,8,
2006-02-18 09:00:00,356,50,900,8,
2006-02-18 10:00:00,518,50,900,8,
2006-02-18 11:00:00,426,50,900,8,
2006-02-18 12:00:00,149,50,900,8,
2006-02-18 13:00:00,214,50,900,8,
2006-02-18 14:00:00,112,50,900,8,
2006-02-18 15:00:00,167,50,900,8,
2006-02-18 16:00:00,199,50,900,8,
2006-02-18 17:00:00,244,50,900,8,
2006-02-18 18:00:00,131,50,900,8,
2006-02-18 19:00:00,37,50,900,8,
2006-02-18 20:00:00,37,50,900,8,
2006-02-18 21:00:00,38,50,900,8,
2006-02-19 10:00:00,314,50,900,8,
2006-02-19 12:00:00,453,50,900,8,
2006-02-19 13:00:00,390,50,900,8,
2006-02-19 14:00:00,379,50,900,8,
2006-02-19 15:00:00,662,50,900,8,
2006-02-19 16:00:00,545,50,900,8,
2006-02-19 17:00:00,249,50,900,8,
2006-02-19 18:00:00,121,50,900,8,
2006-02-19 19:00:00,38,50,900,8,
2006-02-19 21:00:00,38,50,900,8,
2006-02-21 13:00:00,480,50,900,8,
2006-02-21 15:00:00,592,50,900,8,
2006-02-21 17:00:00,61,50,900,8,
2006-02-21 18:00:00,56,50,900,8,
2006-02-21 19:00:00,38,50,900,8,
2006-02-21 20:00:00,38,50,900,8,
2006-02-22 16:00:00,635,50,900,8,
2006-02-22 18:00:00,116,50,900,8,
2006-02-22 19:00:00,39,50,900,8,
2006-02-22 20:00:00,37,50,900,8,
2006-02-22 21:00:00,36,50,900,8,
2006-02-22 22:00:00,36,50,900,8,
2006-02-22 23:00:00,36,50,900,8,
2006-02-23 00:00:00,37,50,900,8,
2006-02-23 09:00:00,261,50,900,8,
2006-02-23 12:00:00,512,50,900,8,
2006-02-23 16:00:00,166,50,900,8,
2006-02-23 17:00:00,111,50,900,8,
2006-02-23 18:00:00,63,50,900,8,
2006-02-23 19:00:00,38,50,900,8,
2006-02-23 20:00:00,37,50,900,8,
2006-02-23 21:00:00,36,50,900,8,
2006-02-23 22:00:00,36,50,900,8,
2006-02-24 12:00:00,680,50,900,8,
2006-02-24 13:00:00,582,50,900,8,
2006-02-24 14:00:00,461,50,900,8,
2006-03-01 12:00:00,578,50,900,8,
2006-03-01 13:00:00,599,50,900,8,
2006-03-01 14:00:00,653,50,900,8,
2006-03-01 15:00:00,451,50,900,8,
2006-03-01 16:00:00,168,50,900,8,
2006-03-01 17:00:00,101,50,900,8,
2006-03-01 18:00:00,58,50,900,8,
2006-03-01 19:00:00,37,50,900,8,
2006-03-01 20:00:00,37,50,900,8,
2006-03-01 21:00:00,37,50,900,8,
2006-03-01 22:00:00,36,50,900,8,
2006-03-02 09:00:00,314,50,900,8,
2006-03-02 10:00:00,627,50,900,8,
2006-03-02 11:00:00,719,50,900,8,
2006-03-02 12:00:00,481,50,900,8,
2006-03-02 13:00:00,927,50,900,8,
2006-03-02 14:00:00,513,50,900,8,
2006-03-02 15:00:00,158,50,900,8,
2006-03-02 16:00:00,84,50,900,8,
2006-03-02 17:00:00,93,50,900,8,
2006-03-02 18:00:00,54,50,900,8,
2006-03-02 19:00:00,37,50,900,8,
2006-03-02 20:00:00,36,50,900,8,
2006-03-02 21:00:00,37,50,900,8,
2006-03-03 11:00:00,552,50,900,8,
2006-03-03 12:00:00,669,50,900,8,
2006-03-03 13:00:00,335,50,900,8,
2006-03-03 14:00:00,303,50,900,8,
2006-03-03 15:00:00,231,50,900,8,
2006-03-03 16:00:00,82,50,900,8,
2006-03-03 17:00:00,169,50,900,8,
2006-03-03 18:00:00,72,50,900,8,
2006-03-03 19:00:00,38,50,900,8,
2006-03-04 14:00:00,562,50,900,8,
2006-03-04 15:00:00,637,50,900,8,
2006-03-04 17:00:00,203,50,900,8,
2006-03-04 18:00:00,87,50,900,8,
2006-03-04 19:00:00,39,50,900,8,
2006-03-04 20:00:00,38,50,900,8,
2006-03-04 21:00:00,37,50,900,8,
2006-03-05 13:00:00,243,50,900,8,
2006-03-05 14:00:00,397,50,900,8,
